Run   NSE           RMSE          KGE           AbsPBIAS      par_POROSITY  par_HBV_BETA  par_FAST_BASEFLOW  par_MAX_PERC  par_MELT      par_SLOW_BASEFLOW  
124   2.646930E-01  1.388130E+01  6.424110E-01  8.238340E+00  5.000000E-02  5.198627E-01  5.108424E-01  5.324238E+01  6.700227E+00  1.256230E-01  
125   2.647160E-01  1.388110E+01  6.424530E-01  8.238180E+00  5.000000E-02  5.198627E-01  7.691547E-01  5.324238E+01  6.700227E+00  1.256230E-01  
126   2.504780E-01  1.401490E+01  6.364550E-01  8.223340E+00  5.000000E-02  5.198627E-01  7.691547E-01  5.324238E+01  6.306130E+00  1.256230E-01  
127   2.504680E-01  1.401500E+01  6.364500E-01  8.223350E+00  5.000000E-02  5.198627E-01  6.931311E-01  5.324238E+01  6.306130E+00  1.256230E-01  
128   2.264460E-01  1.423780E+01  6.238890E-01  9.260520E+00  5.000000E-02  1.798894E+00  7.691547E-01  5.324238E+01  6.306130E+00  1.256230E-01  
129   2.444320E-01  1.407130E+01  6.329250E-01  8.615310E+00  5.000000E-02  7.051307E-01  7.691547E-01  5.324238E+01  6.306130E+00  1.256230E-01  
130   1.487290E-01  1.493590E+01  6.025960E-01  7.925660E+00  5.000000E-02  5.198627E-01  7.691547E-01  3.044334E+01  6.306130E+00  1.256230E-01  
131   2.479580E-01  1.403840E+01  6.353310E-01  8.198760E+00  5.000000E-02  5.198627E-01  7.691547E-01  5.324238E+01  6.111164E+00  1.256230E-01  
132   2.600750E-01  1.392490E+01  5.807350E-01  2.188060E+01  1.082939E-01  5.198627E-01  7.691547E-01  5.324238E+01  6.111164E+00  1.256230E-01  
133   2.514130E-01  1.400610E+01  6.379260E-01  8.172250E+00  5.000000E-02  5.198627E-01  7.691547E-01  4.873983E+01  6.111164E+00  1.256230E-01  
134   2.282190E-01  1.422150E+01  6.256700E-01  9.199530E+00  5.000000E-02  1.697352E+00  7.691547E-01  4.873983E+01  6.111164E+00  1.256230E-01  
135   2.720670E-01  1.381160E+01  6.465840E-01  8.261360E+00  5.000000E-02  5.198627E-01  7.691547E-01  4.873983E+01  6.943943E+00  1.256230E-01  
136   2.766230E-01  1.376830E+01  6.404740E-01  1.112180E+01  6.107544E-02  5.198627E-01  7.691547E-01  4.873983E+01  6.943943E+00  1.256230E-01  
137   2.720670E-01  1.381160E+01  6.465840E-01  8.261360E+00  5.000000E-02  5.198627E-01  7.691547E-01  4.873983E+01  6.943943E+00  1.256230E-01  
138   2.878750E-01  1.366080E+01  6.370040E-01  9.998210E+00  5.000000E-02  5.198627E-01  7.691547E-01  4.873983E+01  6.943943E+00  1.065504E-01  
139   2.892740E-01  1.364730E+01  6.286840E-01  1.262800E+01  6.015992E-02  5.198627E-01  7.691547E-01  4.873983E+01  6.943943E+00  1.065504E-01  
140   2.888380E-01  1.365150E+01  6.329450E-01  1.256740E+01  6.015992E-02  5.198627E-01  7.691547E-01  4.336185E+01  6.943943E+00  1.065504E-01  
141   2.779170E-01  1.375590E+01  6.397840E-01  1.138900E+01  6.015992E-02  5.198627E-01  7.691547E-01  4.336185E+01  6.943943E+00  1.191264E-01  
142   2.889130E-01  1.365080E+01  5.274160E-01  1.915760E+01  6.015992E-02  5.198627E-01  7.691547E-01  4.336185E+01  6.943943E+00  5.758174E-02  
143   2.779480E-01  1.375570E+01  6.397940E-01  1.138900E+01  6.015992E-02  5.198627E-01  6.733706E-01  4.336185E+01  6.943943E+00  1.191264E-01  
144   2.893760E-01  1.364640E+01  5.810590E-01  2.373560E+01  1.147574E-01  5.198627E-01  6.733706E-01  4.336185E+01  6.943943E+00  1.191264E-01  
145   2.902570E-01  1.363790E+01  5.814810E-01  2.369350E+01  1.147574E-01  5.000000E-01  6.733706E-01  4.336185E+01  6.943943E+00  1.191264E-01  
146   2.866320E-01  1.367270E+01  5.954920E-01  2.138870E+01  1.036041E-01  5.000000E-01  6.733706E-01  4.336185E+01  6.943943E+00  1.191264E-01  
147   2.677000E-01  1.385290E+01  5.745800E-01  2.363970E+01  1.147574E-01  5.000000E-01  6.733706E-01  4.336185E+01  5.679064E+00  1.191264E-01  
148   2.902480E-01  1.363800E+01  5.814780E-01  2.369350E+01  1.147574E-01  5.000000E-01  6.517901E-01  4.336185E+01  6.943943E+00  1.191264E-01  
149   2.898480E-01  1.364180E+01  5.817020E-01  2.368890E+01  1.147574E-01  5.000000E-01  6.733706E-01  4.299122E+01  6.943943E+00  1.191264E-01  
150   2.898600E-01  1.364170E+01  5.817170E-01  2.368890E+01  1.147574E-01  5.000000E-01  7.429795E-01  4.299122E+01  6.943943E+00  1.191264E-01  
151   2.898450E-01  1.364190E+01  5.816970E-01  2.368890E+01  1.147574E-01  5.000000E-01  6.521368E-01  4.299122E+01  6.943943E+00  1.191264E-01  
152   2.768740E-01  1.376590E+01  6.409960E-01  1.094480E+01  5.861910E-02  5.000000E-01  7.429795E-01  4.299122E+01  6.943943E+00  1.191264E-01  
153   2.878490E-01  1.366100E+01  5.180770E-01  1.941480E+01  5.861910E-02  5.000000E-01  7.429795E-01  4.299122E+01  6.943943E+00  5.441205E-02  
154   2.511840E-01  1.400830E+01  6.268870E-01  1.214980E+01  5.861910E-02  2.362639E+00  7.429795E-01  4.299122E+01  6.943943E+00  1.191264E-01  
155   2.562030E-01  1.396120E+01  6.339510E-01  1.100760E+01  5.861910E-02  5.000000E-01  7.429795E-01  4.299122E+01  8.052679E+00  1.191264E-01  
156   2.725250E-01  1.380720E+01  6.455370E-01  8.705460E+00  5.000000E-02  5.000000E-01  7.429795E-01  4.299122E+01  6.943943E+00  1.191264E-01  
157   2.817540E-01  1.371930E+01  6.431510E-01  9.475270E+00  5.000000E-02  5.000000E-01  7.429795E-01  4.299122E+01  6.943943E+00  1.106969E-01  
158   2.824560E-01  1.371260E+01  6.433490E-01  9.484390E+00  5.000000E-02  5.000000E-01  7.429795E-01  4.299122E+01  6.988878E+00  1.106969E-01  
159   2.824590E-01  1.371260E+01  6.433490E-01  9.484540E+00  5.000000E-02  5.000000E-01  7.226334E-01  4.299122E+01  6.988878E+00  1.106969E-01  
160   -2.346020E-01  1.798710E+01  4.567030E-01  8.145340E+00  5.000000E-02  5.000000E-01  7.226334E-01  1.722578E+01  6.988878E+00  1.106969E-01  
161   2.598580E-01  1.392690E+01  6.313340E-01  1.051430E+01  5.000000E-02  2.458295E+00  7.226334E-01  4.299122E+01  6.988878E+00  1.106969E-01  
162   2.824590E-01  1.371260E+01  6.433490E-01  9.484540E+00  5.000000E-02  5.000000E-01  7.226334E-01  4.299122E+01  6.988878E+00  1.106969E-01  
